Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C15, C19, C2, C20, C22, C4, C6, C7, C8, C9",0402,13,100nF,C1525
"C12, C13",0402,2,27pF,C1557
"C14, C16",0805,2,10uF,C1713
C17,CP_EIA-3216-10_Kemet-I,1,22uF,C7171
"C18, C21",0603,2,1uF,C1592
"C3, C5",0402,2,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D8, D9",D_SOD-523,65,D,C282366
"H1, H2, H3, H4, H5, H6, H7",MountingHole_2.2mm_M2,7,MH,
"J1, J3, J4, J5, J6",PAD_SQUARE_1MM,5,PAD_SQUARE_1MM,
"J2, J7",Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,2,Molex Pico-EZMATE,C588524
LED1,0603,1,Debug LED,C2290
Q1,SOT-323_SC-70,1,Q_PMOS_GSD,C388477
"R1, R2",0402,2,27.4,C31439
"R10, R13, R16, R19, R22, R7",0603,6,33,C23140
"R11, R12, R14, R15, R17, R18, R20, R21, R23, R24, R8, R9",0603,12,28,C22973
"R25, R26, R3",0402,3,1k,C11702
R27,0402,1,DNF,
R28,0402,1,10k,C25531
R6,0402,1,120,C25079
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB27, RGB28, RGB29, RGB3, RGB30, RGB31, RGB32, RGB33, RGB34, RGB35, RGB36, RGB37, RGB38, RGB39, RGB4, RGB40, RGB41, RGB42, RGB43, RGB44, RGB45, RGB46, RGB47, RGB48, RGB49, RGB5, RGB50, RGB51, RGB52, RGB53, RGB54, RGB55, RGB56, RGB57, RGB58, RGB59, RGB6, RGB60, RGB61, RGB62, RGB63, RGB64, RGB7, RGB8, RGB9",LED_MX_6028R FIXED,64,LED_RGBA,C183826
SW1,SW_MX_HS_1.5u,1,ESC,C5156480
SW10,SW_MX_HS_1u,1,S,C5156480
SW11,SW_MX_HS_1u,1,X,C5156480
SW12,SW_MX_HS_1.25u,1,L_CMD,C5156480
SW13,SW_MX_HS_1u,1,E,C5156480
SW14,SW_MX_HS_1u,1,D,C5156480
SW15,SW_MX_HS_1u,1,C,C5156480
SW16,SW_MX_HS_1u,1,R,C5156480
SW17,SW_MX_HS_1u,1,F,C5156480
SW18,SW_MX_HS_1u,1,V,C5156480
SW19,SW_MX_HS_1u,1,FN_1,C5156480
SW2,SW_MX_HS_1.75u,1,TAB,C5156480
SW20,SW_MX_HS_1u,1,T,C5156480
SW21,SW_MX_HS_1u,1,G,C5156480
SW22,SW_MX_HS_1u,1,B,C5156480
SW23,SW_MX_HS_1u,1,Y,C5156480
SW24,SW_MX_HS_1u,1,H,C5156480
SW25,SW_MX_HS_1u,1,N,C5156480
SW26,SW_MX_HS_1u,1,SPACE,C5156480
SW27,SW_MX_HS_1u,1,U,C5156480
SW28,SW_MX_HS_1u,1,J,C5156480
SW29,SW_MX_HS_1u,1,M,C5156480
SW3,SW_MX_HS_1u,1,L_SHIFT,C5156480
SW30,SW_MX_HS_1u,1,I,C5156480
SW31,SW_MX_HS_1u,1,K,C5156480
SW32,SW_MX_HS_1u,1,COMMA,C5156480
SW33,SW_MX_HS_1.25u,1,R_CMD,C5156480
SW34,SW_MX_HS_1u,1,O,C5156480
SW35,SW_MX_HS_1u,1,L,C5156480
SW36,SW_MX_HS_1u,1,PERIOD,C5156480
SW37,SW_MX_HS_1u,1,P,C5156480
SW38,SW_MX_HS_1u,1,SEMI_COLON,C5156480
SW39,SW_MX_HS_1u,1,SLASH,C5156480
SW4,SW_MX_HS_1.25u,1,L_CTRL,C5156480
SW40,SW_MX_HS_1.25u,1,R_ALT,C5156480
SW41,SW_MX_HS_1u,1,HYPHEN,C5156480
SW42,SW_MX_HS_1u,1,APOSTROPHE,C5156480
SW43,SW_MX_HS_1.25u,1,R_CTRL,C5156480
SW44,SW_MX_HS_1u,1,EQUALS,C5156480
SW45,SW_MX_HS_1u,1,RETURN,C5156480
SW46,SW_MX_HS_1.5u,1,FN_2,C5156480
SW47,SW_MX_HS_1.5u,1,BCK_SPC,C5156480
SW48,SW_MX_HS_1u,1,R_SHIFT,C5156480
SW49,SW_MX_HS_1u,1,7,C5156480
SW5,SW_MX_HS_1u,1,Q,C5156480
SW50,SW_MX_HS_1u,1,4,C5156480
