Designator,Mid X,Mid Y,Rotation,Layer
C1,307.99624,-140.754104,90.0,bottom
C10,300.65824,-144.106904,0.0,bottom
C11,300.65824,-142.836904,0.0,bottom
C12,312.13824,-158.907904,135.0,bottom
C13,307.73824,-159.377904,45.0,bottom
C14,300.58824,-129.407904,0.0,bottom
C15,310.59324,-136.706904,180.0,bottom
C16,298.68824,-140.607904,0.0,bottom
C17,259.035334,-141.312314,270.0,bottom
C18,245.91,-149.746904,315.0,bottom
C19,247.84,-149.629411,315.0,bottom
C2,305.68824,-154.007904,270.0,bottom
C20,257.325,-147.5,270.0,bottom
C21,258.525,-146.94,270.0,bottom
C22,258.05,-150.029411,225.0,bottom
C3,303.93224,-141.790304,90.0,bottom
C4,306.98824,-140.757904,90.0,bottom
C5,302.91624,-141.790304,90.0,bottom
C6,313.20324,-144.487904,180.0,bottom
C7,300.27724,-149.186904,0.0,bottom
C8,313.20324,-149.313904,180.0,bottom
C9,306.93824,-154.007904,270.0,bottom
D1,19.049984,-115.892872,90.0,bottom
D10,66.674944,-134.942856,90.0,bottom
D11,76.199936,-153.99284,90.0,bottom
D12,64.293734,-173.042872,90.0,bottom
D13,80.962448,-115.892872,90.0,bottom
D14,85.674944,-134.942856,90.0,bottom
D15,95.249936,-153.99284,90.0,bottom
D16,100.012448,-115.892872,90.0,bottom
D17,104.724944,-134.942856,90.0,bottom
D18,114.299936,-153.99284,90.0,bottom
D19,104.774984,-173.042872,90.0,bottom
D2,21.431232,-134.942856,90.0,bottom
D20,119.062448,-115.892872,90.0,bottom
D21,123.774944,-134.942856,90.0,bottom
D22,133.349936,-153.99284,90.0,bottom
D23,138.112448,-115.892872,90.0,bottom
D24,142.824944,-134.942856,90.0,bottom
D25,152.399936,-153.99284,90.0,bottom
D26,161.924984,-173.042872,90.0,bottom
D27,157.162448,-115.892872,90.0,bottom
D28,161.874944,-134.942856,90.0,bottom
D29,171.449936,-153.99284,90.0,bottom
D3,26.193728,-153.99284,90.0,bottom
D30,176.212448,-115.892872,90.0,bottom
D31,180.924944,-134.942856,90.0,bottom
D32,190.499936,-153.99284,90.0,bottom
D33,202.406234,-173.042872,90.0,bottom
D34,195.262448,-115.892872,90.0,bottom
D35,200.024944,-134.942856,90.0,bottom
D36,209.549936,-153.99284,90.0,bottom
D37,214.312448,-115.892872,90.0,bottom
D38,219.024944,-134.942856,90.0,bottom
